bodega,nr_articulo,articulo,unidad,sd
STOCK ALMACEN  SUMINISTROS,97503113, CALDERO RECORT TAPA 50X60 CM,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95026919, CAZUELA 16 ONZ,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95004459, CINTA SELLAMIENTO 48 MM X 50 MTS,Unidad,14.0
STOCK ALMACEN  SUMINISTROS,124791, IBUPROFENO 800MG TNR CJX50 GEF,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95026263, PLATO BLANCO CUADRADO,Unidad,11600.0
STOCK ALMACEN  SUMINISTROS,95026266, PLATO BLANCO RECTANGULAR,Unidad,10400.0
STOCK ALMACEN  SUMINISTROS,97502964, BALDE PLASTICO 10 LTS,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,97502914, CUCHARA PORCIONADORA DE 6 ONZAS,Unidad,9.0
STOCK ALMACEN  SUMINISTROS,97503241,ABRELATAS MARIPOSA,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95007905,ACEITE MECHERO CALENTA. SAMOVAR X 3750CC,Unidad,16.0
STOCK ALMACEN  SUMINISTROS,374215,ACETAMINOFEN 150MG/5ML SHJ FCOX90ML LFC,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,2131,ACETAMINOFEN 500 MG TAB CJX 100,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95001202,ACETATO TAMANO CARTA,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95027285,AFVT) ANTIMICROBIANO FRUTAS Y VERDURAS,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,95023660,ALCOHOL ANTISEPTICO AL 70% X 500 ML,Unidad,20.0
STOCK ALMACEN  SUMINISTROS,95023788,ALCOHOL GLICERINADO 500ML CON VALVULA,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,80029519,ALEVINOS KG,Kilogram,176.0
STOCK ALMACEN  SUMINISTROS,95001498,ALMOHADILLA PARA SELLO 107X66 MM,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95004250,AMBIENTADOR AEROSOL X 400 CC,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95019886,AMBIENTADOR EN PASTA REPUESTO X 30 GR,Unidad,140.0
STOCK ALMACEN  SUMINISTROS,95006025,ARAGAN MEDIANO 51 CMS C/PALO 1.50,Unidad,12.0
STOCK ALMACEN  SUMINISTROS,95001231,ARCHIVADOR FUELLE OFICIO PLAS.13 BOLSILL,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95004124,ATOMIZADOR PLASTICO ECONOMICO 500CC,Unidad,34.0
STOCK ALMACEN  SUMINISTROS,95004096,BALDE PLASTICO 12 LITROS IMUSA,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,95001212,BANDAS DE CAUCHO REF.18 CJAX32BANDAS,Unidad,9.0
STOCK ALMACEN  SUMINISTROS,95032184,BANDEJA EN EARTH PACT 38 X 28,Unidad,41500.0
STOCK ALMACEN  SUMINISTROS,97502884,BANDEJA PLASTICA 30 HUEVOS AZUL FB,Unidad,50.0
STOCK ALMACEN  SUMINISTROS,95019181,BANDEJA RECTANGULAR,Unidad,9320.0
STOCK ALMACEN  SUMINISTROS,95005527,BANDERA INTERPER POLIESTER ASTA DE 20MT,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95005526,BANDERA INTERPER POLIESTER ASTA DE 40MT,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95023864,BARRAIMANTADA TRAMONTINA,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95024375,BATA ANFILUIDO TALLA M,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95024374,BATA ANFILUIDO TALLA S,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95007930,BATA DESECHABLE COCINA,Unidad,87.0
STOCK ALMACEN  SUMINISTROS,95004095,BAYGON EN AEROSOL X 364 CM,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,924931,BETAMETASONA 0.05% CREMA TBOX20G LF,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95023827,BOLSA BLANCA RESD APROV 40X60 PAQ X 50,Unidad,28.0
STOCK ALMACEN  SUMINISTROS,95023830,BOLSA BLANCA RESD APROV 70X 100,Unidad,75.0
STOCK ALMACEN  SUMINISTROS,95023833,BOLSA BLANCA RESD APROV 90X110 CAL 2,Unidad,3125.0
STOCK ALMACEN  SUMINISTROS,95005752,BOLSA CANASTILLA 24X39 PULG CAL 1 X KILO,Unidad,280.0
STOCK ALMACEN  SUMINISTROS,95023286,BOLSA EMPAQUE AL VACIO*22CM*18CM*70 MIC,Unidad,4800.0
